Gender,Age,Dur,ppv
Male,20,7,6.395781345
Male,20,8,7.202199662
Male,20,9,7.984170664
Male,20,10,8.742426232
Male,20,11,9.477676621
Male,20,12,10.19061109
Male,20,13,10.88189734
Male,20,14,11.55217701
Male,20,15,12.20206221
Male,20,16,12.83213646
Male,20,17,13.44295557
Male,20,18,14.03504863
Male,20,19,14.60891903
Male,20,20,15.16504546
Male,20,21,15.70388289
Male,20,22,16.2258637
Male,20,23,16.73139873
Male,20,24,17.22087831
Male,20,25,17.69467339
Male,20,26,18.15313661
Male,20,27,18.59660344
Male,20,28,19.02539329
Male,20,29,19.43981056
Male,20,30,19.84014586
Male,20,31,20.22667708
Male,20,32,20.59966328
Male,20,33,20.95935755
Male,20,34,21.3059973
Male,20,35,21.63980451
Male,20,36,21.96098615
Male,20,37,22.26973467
Male,20,38,22.56622851
Male,20,39,22.85063283
Male,20,40,23.12310026
Male,20,41,23.38377186
Male,20,42,23.63277833
Male,20,43,23.87024129
Male,20,44,24.09627491
Male,20,45,24.31098771
Male,20,46,24.51448475
Male,20,47,24.70687
Male,20,48,24.88824915
Male,20,49,25.05873268
Male,20,50,25.21843923
Male,21,1,1
Male,21,2,1.969755146
Male,21,3,2.910168702
Male,21,4,3.822117309
Male,21,5,4.706451758
Male,21,6,5.563997742
Male,21,7,6.395556586
Male,21,8,7.201905957
Male,21,9,7.983800552
Male,21,10,8.741972768
Male,21,11,9.477133354
Male,21,12,10.18997082
Male,21,13,10.88114682
Male,21,14,11.55129255
Male,21,15,12.2010097
Male,21,16,12.83087143
Male,21,17,13.44142332
Male,21,18,14.03318443
Male,21,19,14.6066484
Male,21,20,15.16228438
Male,21,21,15.70053823
Male,21,22,16.22183358
Male,21,23,16.72657295
Male,21,24,17.21513885
Male,21,25,17.6878949
Male,21,26,18.14518706
Male,21,27,18.58734466
Male,21,28,19.01468162
Male,21,29,19.42749758
Male,21,30,19.82607913
Male,21,31,20.21069337
Male,21,32,20.5816013
Male,21,33,20.93904773
Male,21,34,21.28326156
Male,21,35,21.61445622
Male,21,36,21.93283014
Male,21,37,22.23856734
Male,21,38,22.53183811
Male,21,39,22.81279986
Male,21,40,23.08159804
Male,21,41,23.33836742
Male,21,42,23.58323342
Male,21,43,23.81631375
Male,21,44,24.03772034
Male,21,45,24.24756151
Male,21,46,24.44594447
Male,21,47,24.63297822
Male,21,48,24.80877666
Male,21,49,24.97346216
Male,21,50,25.12716931
Male,22,1,1
Male,22,2,1.969743301
Male,22,3,2.910133884
Male,22,4,3.822049076
Male,22,5,4.70634032
